,date,home_team,score,away_team,season
220,17-03-2018,Huddersfield,0 - 2,Crystal Palace,17/18
221,31-03-2018,Crystal Palace,1 - 2,Liverpool,17/18
222,07-04-2018,Bournemouth,2 - 2,Crystal Palace,17/18
223,14-04-2018,Crystal Palace,3 - 2,Brighton,17/18
224,21-04-2018,Watford,0 - 0,Crystal Palace,17/18
225,28-04-2018,Crystal Palace,5 - 0,Leicester,17/18
226,05-05-2018,Stoke,1 - 2,Crystal Palace,17/18
227,13-05-2018,Crystal Palace,2 - 0,West Brom,17/18
228,12-08-2017,Everton,1 - 0,Stoke,17/18
229,21-08-2017,Man City,1 - 1,Everton,17/18
230,27-08-2017,Chelsea,2 - 0,Everton,17/18
231,09-09-2017,Everton,0 - 3,Tottenham,17/18
232,17-09-2017,Man United,4 - 0,Everton,17/18
233,23-09-2017,Everton,2 - 1,Bournemouth,17/18
234,01-10-2017,Everton,0 - 1,Burnley,17/18
235,15-10-2017,Brighton,1 - 1,Everton,17/18
236,22-10-2017,Everton,2 - 5,Arsenal,17/18
237,29-10-2017,Leicester,2 - 0,Everton,17/18
238,05-11-2017,Everton,3 - 2,Watford,17/18
239,18-11-2017,Crystal Palace,2 - 2,Everton,17/18
240,26-11-2017,Southampton,4 - 1,Everton,17/18
241,29-11-2017,Everton,4 - 0,West Ham,17/18
242,02-12-2017,Everton,2 - 0,Huddersfield,17/18
243,10-12-2017,Liverpool,1 - 1,Everton,17/18
244,13-12-2017,Newcastle,0 - 1,Everton,17/18
245,18-12-2017,Everton,3 - 1,Swansea,17/18
246,23-12-2017,Everton,0 - 0,Chelsea,17/18
247,26-12-2017,West Brom,0 - 0,Everton,17/18
248,30-12-2017,Bournemouth,2 - 1,Everton,17/18
249,01-01-2018,Everton,0 - 2,Man United,17/18
250,13-01-2018,Tottenham,4 - 0,Everton,17/18
251,20-01-2018,Everton,1 - 1,West Brom,17/18
252,31-01-2018,Everton,2 - 1,Leicester,17/18
253,03-02-2018,Arsenal,5 - 1,Everton,17/18
254,10-02-2018,Everton,3 - 1,Crystal Palace,17/18
255,24-02-2018,Watford,1 - 0,Everton,17/18
256,03-03-2018,Burnley,2 - 1,Everton,17/18
257,10-03-2018,Everton,2 - 0,Brighton,17/18
258,17-03-2018,Stoke,1 - 2,Everton,17/18
259,31-03-2018,Everton,1 - 3,Man City,17/18
260,07-04-2018,Everton,0 - 0,Liverpool,17/18
261,14-04-2018,Swansea,1 - 1,Everton,17/18
262,23-04-2018,Everton,1 - 0,Newcastle,17/18
263,28-04-2018,Huddersfield,0 - 2,Everton,17/18
264,05-05-2018,Everton,1 - 1,Southampton,17/18
265,13-05-2018,West Ham,3 - 1,Everton,17/18
266,12-08-2017,Crystal Palace,0 - 3,Huddersfield,17/18
267,20-08-2017,Huddersfield,1 - 0,Newcastle,17/18
268,26-08-2017,Huddersfield,0 - 0,Southampton,17/18
269,11-09-2017,West Ham,2 - 0,Huddersfield,17/18
270,16-09-2017,Huddersfield,1 - 1,Leicester,17/18
271,23-09-2017,Burnley,0 - 0,Huddersfield,17/18
272,30-09-2017,Huddersfield,0 - 4,Tottenham,17/18
273,14-10-2017,Swansea,2 - 0,Huddersfield,17/18
274,21-10-2017,Huddersfield,2 - 1,Man United,17/18
275,28-10-2017,Liverpool,3 - 0,Huddersfield,17/18
276,04-11-2017,Huddersfield,1 - 0,West Brom,17/18
277,18-11-2017,Bournemouth,4 - 0,Huddersfield,17/18
278,26-11-2017,Huddersfield,1 - 2,Man City,17/18
279,29-11-2017,Arsenal,5 - 0,Huddersfield,17/18
280,02-12-2017,Everton,2 - 0,Huddersfield,17/18
281,09-12-2017,Huddersfield,2 - 0,Brighton,17/18
282,12-12-2017,Huddersfield,1 - 3,Chelsea,17/18
283,16-12-2017,Watford,1 - 4,Huddersfield,17/18
284,23-12-2017,Southampton,1 - 1,Huddersfield,17/18
285,26-12-2017,Huddersfield,1 - 1,Stoke,17/18
286,30-12-2017,Huddersfield,0 - 0,Burnley,17/18
287,01-01-2018,Leicester,3 - 0,Huddersfield,17/18
288,13-01-2018,Huddersfield,1 - 4,West Ham,17/18
289,20-01-2018,Stoke,2 - 0,Huddersfield,17/18
290,30-01-2018,Huddersfield,0 - 3,Liverpool,17/18
291,03-02-2018,Man United,2 - 0,Huddersfield,17/18
292,11-02-2018,Huddersfield,4 - 1,Bournemouth,17/18
293,24-02-2018,West Brom,1 - 2,Huddersfield,17/18
294,03-03-2018,Tottenham,2 - 0,Huddersfield,17/18
295,10-03-2018,Huddersfield,0 - 0,Swansea,17/18
296,17-03-2018,Huddersfield,0 - 2,Crystal Palace,17/18
297,31-03-2018,Newcastle,1 - 0,Huddersfield,17/18
298,07-04-2018,Brighton,1 - 1,Huddersfield,17/18
299,14-04-2018,Huddersfield,1 - 0,Watford,17/18
300,28-04-2018,Huddersfield,0 - 2,Everton,17/18
301,06-05-2018,Man City,0 - 0,Huddersfield,17/18
302,09-05-2018,Chelsea,1 - 1,Huddersfield,17/18
303,13-05-2018,Huddersfield,0 - 1,Arsenal,17/18
304,11-08-2017,Arsenal,4 - 3,Leicester,17/18
305,19-08-2017,Leicester,2 - 0,Brighton,17/18
306,26-08-2017,Man United,2 - 0,Leicester,17/18
307,09-09-2017,Leicester,1 - 2,Chelsea,17/18
308,16-09-2017,Huddersfield,1 - 1,Leicester,17/18
309,23-09-2017,Leicester,2 - 3,Liverpool,17/18
310,30-09-2017,Bournemouth,0 - 0,Leicester,17/18
311,16-10-2017,Leicester,1 - 1,West Brom,17/18
312,21-10-2017,Swansea,1 - 2,Leicester,17/18
313,29-10-2017,Leicester,2 - 0,Everton,17/18
314,04-11-2017,Stoke,2 - 2,Leicester,17/18
315,18-11-2017,Leicester,0 - 2,Man City,17/18
316,24-11-2017,West Ham,1 - 1,Leicester,17/18
317,28-11-2017,Leicester,2 - 1,Tottenham,17/18
318,02-12-2017,Leicester,1 - 0,Burnley,17/18
319,09-12-2017,Newcastle,2 - 3,Leicester,17/18
320,13-12-2017,Southampton,1 - 4,Leicester,17/18
321,16-12-2017,Leicester,0 - 3,Crystal Palace,17/18
322,23-12-2017,Leicester,2 - 2,Man United,17/18
