,date,home_team,score,away_team,season
364,11-02-2018,Sevilla,1 - 0,Girona,17/18
365,16-02-2018,Girona,3 - 0,Leganes,17/18
366,24-02-2018,Barcelona,6 - 1,Girona,17/18
367,27-02-2018,Girona,1 - 0,Celta,17/18
368,03-03-2018,Villarreal,0 - 2,Girona,17/18
369,09-03-2018,Girona,2 - 0,La Coruna,17/18
370,18-03-2018,Real Madrid,6 - 3,Girona,17/18
371,31-03-2018,Girona,1 - 1,Levante,17/18
372,08-04-2018,Sociedad,5 - 0,Girona,17/18
373,13-04-2018,Girona,0 - 1,Betis,17/18
374,19-04-2018,Alaves,1 - 2,Girona,17/18
375,22-04-2018,Girona,0 - 2,Espanol,17/18
376,29-04-2018,Getafe,1 - 1,Girona,17/18
377,05-05-2018,Girona,1 - 4,Eibar,17/18
378,12-05-2018,Girona,0 - 1,Valencia,17/18
379,19-05-2018,Las Palmas,1 - 2,Girona,17/18
380,20-08-2017,La Coruna,0 - 3,Real Madrid,17/18
381,26-08-2017,Levante,2 - 2,La Coruna,17/18
382,10-09-2017,La Coruna,2 - 4,Sociedad,17/18
383,16-09-2017,Betis,2 - 1,La Coruna,17/18
384,20-09-2017,La Coruna,1 - 0,Alaves,17/18
385,24-09-2017,Espanol,4 - 1,La Coruna,17/18
386,30-09-2017,La Coruna,2 - 1,Getafe,17/18
387,15-10-2017,Eibar,0 - 0,La Coruna,17/18
388,23-10-2017,La Coruna,1 - 2,Girona,17/18
389,30-10-2017,Las Palmas,1 - 3,La Coruna,17/18
390,04-11-2017,La Coruna,0 - 1,Ath Madrid,17/18
391,19-11-2017,Malaga,3 - 2,La Coruna,17/18
392,26-11-2017,La Coruna,2 - 2,Ath Bilbao,17/18
393,02-12-2017,Sevilla,2 - 0,La Coruna,17/18
394,09-12-2017,La Coruna,1 - 0,Leganes,17/18
395,17-12-2017,Barcelona,4 - 0,La Coruna,17/18
396,23-12-2017,La Coruna,1 - 3,Celta,17/18
397,07-01-2018,Villarreal,1 - 1,La Coruna,17/18
398,13-01-2018,La Coruna,1 - 2,Valencia,17/18
399,21-01-2018,Real Madrid,7 - 1,La Coruna,17/18
400,27-01-2018,La Coruna,2 - 2,Levante,17/18
401,02-02-2018,Sociedad,5 - 0,La Coruna,17/18
402,12-02-2018,La Coruna,0 - 1,Betis,17/18
403,17-02-2018,Alaves,1 - 0,La Coruna,17/18
404,23-02-2018,La Coruna,0 - 0,Espanol,17/18
405,28-02-2018,Getafe,3 - 0,La Coruna,17/18
406,03-03-2018,La Coruna,1 - 1,Eibar,17/18
407,09-03-2018,Girona,2 - 0,La Coruna,17/18
408,17-03-2018,La Coruna,1 - 1,Las Palmas,17/18
409,01-04-2018,Ath Madrid,1 - 0,La Coruna,17/18
410,06-04-2018,La Coruna,3 - 2,Malaga,17/18
411,14-04-2018,Ath Bilbao,2 - 3,La Coruna,17/18
412,17-04-2018,La Coruna,0 - 0,Sevilla,17/18
413,20-04-2018,Leganes,0 - 0,La Coruna,17/18
414,29-04-2018,La Coruna,2 - 4,Barcelona,17/18
415,05-05-2018,Celta,1 - 1,La Coruna,17/18
416,12-05-2018,La Coruna,2 - 4,Villarreal,17/18
417,20-05-2018,Valencia,2 - 1,La Coruna,17/18
418,18-08-2017,Valencia,1 - 0,Las Palmas,17/18
419,26-08-2017,Las Palmas,1 - 5,Ath Madrid,17/18
420,11-09-2017,Malaga,1 - 3,Las Palmas,17/18
421,17-09-2017,Las Palmas,1 - 0,Ath Bilbao,17/18
422,20-09-2017,Sevilla,1 - 0,Las Palmas,17/18
423,24-09-2017,Las Palmas,0 - 2,Leganes,17/18
424,01-10-2017,Barcelona,3 - 0,Las Palmas,17/18
425,16-10-2017,Las Palmas,2 - 5,Celta,17/18
426,22-10-2017,Villarreal,4 - 0,Las Palmas,17/18
427,30-10-2017,Las Palmas,1 - 3,La Coruna,17/18
428,05-11-2017,Real Madrid,3 - 0,Las Palmas,17/18
429,19-11-2017,Las Palmas,0 - 2,Levante,17/18
430,26-11-2017,Sociedad,2 - 2,Las Palmas,17/18
431,03-12-2017,Las Palmas,1 - 0,Betis,17/18
432,08-12-2017,Alaves,2 - 0,Las Palmas,17/18
433,17-12-2017,Las Palmas,2 - 2,Espanol,17/18
434,20-12-2017,Getafe,2 - 0,Las Palmas,17/18
435,06-01-2018,Las Palmas,1 - 2,Eibar,17/18
436,13-01-2018,Girona,6 - 0,Las Palmas,17/18
437,20-01-2018,Las Palmas,2 - 1,Valencia,17/18
438,28-01-2018,Ath Madrid,3 - 0,Las Palmas,17/18
439,05-02-2018,Las Palmas,1 - 0,Malaga,17/18
440,09-02-2018,Ath Bilbao,0 - 0,Las Palmas,17/18
441,17-02-2018,Las Palmas,1 - 2,Sevilla,17/18
442,24-02-2018,Leganes,0 - 0,Las Palmas,17/18
443,01-03-2018,Las Palmas,1 - 1,Barcelona,17/18
444,05-03-2018,Celta,2 - 1,Las Palmas,17/18
445,11-03-2018,Las Palmas,0 - 2,Villarreal,17/18
446,17-03-2018,La Coruna,1 - 1,Las Palmas,17/18
447,31-03-2018,Las Palmas,0 - 3,Real Madrid,17/18
448,08-04-2018,Levante,2 - 1,Las Palmas,17/18
449,14-04-2018,Las Palmas,0 - 1,Sociedad,17/18
450,19-04-2018,Betis,1 - 0,Las Palmas,17/18
451,22-04-2018,Las Palmas,0 - 4,Alaves,17/18
452,28-04-2018,Espanol,1 - 1,Las Palmas,17/18
453,06-05-2018,Las Palmas,0 - 1,Getafe,17/18
454,12-05-2018,Eibar,1 - 0,Las Palmas,17/18
455,19-05-2018,Las Palmas,1 - 2,Girona,17/18
456,18-08-2017,Leganes,1 - 0,Alaves,17/18
457,27-08-2017,Espanol,0 - 1,Leganes,17/18
458,08-09-2017,Leganes,1 - 2,Getafe,17/18
459,15-09-2017,Eibar,1 - 0,Leganes,17/18
